Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
,Unzer Fond,Boletin,,Idish,Uruguay,Montevideo,,Keren Kayemet Leisrael,,1936,XX,XX,1936,,,,,,/,Boletín,,,Harvard; BNU?
אונדזער פראגרעס : ביולעטין,Undzer progres : byuleṭin,,,Idish,Uruguay,Montevideo,,2ṭer Yidisher handls-ḳooperaṭiṿ,,1939,XX,XX,1939,,,,,,/,,coopeprativas,,Center for Jewish History CJH (NY)
אונזער פריינט : טעגלעכע צייטונג. ,Unzer fraint : teglikhe yidishe progresive folkstsaytung in urugvay,Nuestro amigo,"Redacción de Abraham ""Unzer Fraint"" Jeruzalimsky (I. Adamsky) . Segun IWO: Moisés Goldenberg",Idish,Uruguay,Montevideo,Canelones 1015,,Diario,9 marzo 1935,03,09,1935,,1974?,XX,XX,1974,?,diario,comunista,sucesor de Tsum Oktyaber,Harvard; Center for Jewish History CJH (NY); International Institue of Social History (IISH); NLI; IWO; BNU
אונזער קאאפעראטיוו : ארגאן פון דער יידישער באנק אין אורוגוויי,Unzer kooperativ,Nuestra cooperativa : organo del Banco Israelita del Uruguay.,Gregorio Mostovich,Idish,Uruguay,Montevideo,Emilio Reus 2366,Cooperativa Mutual Israelita S.A./Banco Israelita del Uruguay,Boletín,abril 1929,04,XX,1929,,,,,,/,mensual,economía,,Harvard; Center for Jewish History CJH (NY); NLI
אונדזער קולטור,Undzer kultur ,Nuestra cultura,,Idish,Uruguay,Montevideo,,Organ fun dem Yidishn Kultur Farband in Urugvey,,junio 1947,06,XX,1937,,,,,,/,,,,Harvard; Center for Jewish History CJH (NY)
,Unzer Rejt,Nuestro derecho,redacción de Samuel Kuznicky,Idish,Uruguay,,,,,,,,,,,,,,/,,vocero contra el antisemitismo,,
אונדזער שול,Undzer shul ,Nuestra escuela,redactado por Jehuda Lewi,Idish,Uruguay,Montevideo,,Fareynikter Yidisher shul-organizatsye in Urugvey / Organizacion de Escuelas Laicas Israelitas,,1940?,XX,XX,1940,?,,,,,/,,educación,,LoC; Center for Jewish History CJH (NY); NLI
אונדזער שול : אסגאבע פון דער שלום־עליכם שול אין מאנטעװידעא,Undzer shul,Nuestra escuela,,Idish,Uruguay,Montevideo,Julio Herrera y Obes 1128,Fronṭ fun der Prekhtiḳer Gebeyde far a Sholem-Aleykhem Shul Comité Pro Edificio Propio  Escuela Scholem Aleijem,Revista,diciembre 1948,12,XX,1948,,,,,,/,,educación,,Harvard; Center for Jewish History CJH (NY); NLI
אונזער שול : ביולעטין פון דער יידיש וועלטלעכער שול-ארגאניזאציע אין מאנטעווידעא, Unzer shul : byuletin fun der Yidish veltlekher shul organizatsye in Montevideo,Nuestra escuela,,Idish,Uruguay,Montevideo,,Organizacion de las Escuelas Laicas Israelitas.; Sholem Aleykhem shul (Uruguay),Boletín,febrero 1936,02,XX,1936,,,,,,/,,educación,,Harvard; Center for Jewish History CJH (NY); LoC
אונדזערע אויפגאבן,Undzere oyfgabn,,,Idish,Uruguay,Montevideo,,Landslayṭ-fareyn fun Lomzshe un umgegnṭ / לאנדסלייט-פאריין פון לאמזשע און אומגעגנט,,octubre 1944,10,XX,1944,,,,,,/,,polacos,,Harvard; Center for Jewish History CJH (NY); BNU
אונזערע דערגרייכונגען,Undzere dergreykhungen,Nuestros logros,,Idish,Uruguay,Montevideo,,Kultur-hoyz / Casa Cultural Israelita,,junio 1937,06,XX,1937,,,,,,/,,cultural,,Harvard
אורוגווייער אידישער פרעסע,Urugṿayer Idisher prese,,J. Katzman,Idish,Uruguay,Montevideo,Rio Branco 1145,,,1929,XX,XX,1929,,diciembre 1931,12,XX,1931,,semanal,,,NYPL; Harvard; NLI
אורוגווייער יידיש ווארט : אפיציעלער ארגאן פון דער יידישער קהלה,Urugvayer yidish vort : ofitsyale organ fun der yidisher Kehile,La palabra judía uruguaya,León Halpern,Idish,Uruguay,Montevideo,Durazno 1118,Yidishe ḳehileh,,1946,XX,XX,1946,,,,,,/,diario/mensual,,,"Harvard; NYPL; Center for Jewish History CJH (NY);  IWO
"
אורוגווייער טאג : ערשטע יידישע טעגלעכע צייטונג אין אורוגוויי,Urugṿayer tog,Diario Israelita de la mañana,"Moishe Orzuj y Berl Resnicovich, dirigido por Pedro Sprinberg",Idish,Uruguay,Montevideo,Andes 1191,,,25 abril 1933,04,25,1933,,enero 1935,01,XX,1935,,diario,,,Harvard; NLI
,Uruguaier Tribune,Tribuna uruguaya,,Idish,Uruguay,Montevideo,,,,1934,XX,XX,1934,,,,,,/,,sionista revisionista,,Harvard
,Uruguaier Yidisher Handls Blatt,Gaceta comercial israelita uruguaya,"redactado por León Halpern; 2da epoca: Dr. Samuel Epstein, a quien sucedió Abraham Halpern",idish; 2da epoca: aleman,Uruguay,Montevideo,,Centro Comercial é Industrial Israelita del Uruguay,,"marzo 1934, 2da epoca: enero 1939",,,,,fines 1935; 2da epoca: 1946,,,,,,comercial,,Harvard
אורוגווייער ייווא ידיעות,Urogvayer YIVO yidies,Informaciones del IWO en el Uruguay,,Idish,Uruguay,Montevideo,Durazno 1118,IWO,Boletín,septiembre 1949,09,XX,1949,,,,,,/,,,,Harvard
ארגאן פון שניידער היים ארבעטער,Organ fun shnayder heym arbeter,,,Idish,Uruguay,Montevideo, 2442 יליא רעאוס,Sindicato Obreros Sastres a Domicilio,Boletín,1934,XX,XX,1934,,,,,,/,monthly,obrero,,Harvard
,Yidishe Velt,Mundo Israelita,Abraham Brisgal,Idish,Uruguay,Montevideo,,,,1921?,XX,XX,1921,?,,,,,/,,sionista,,
אינפארמאציע ביולעטין,,Boletin informativo del Comité Obrero Israelita,,Idish,Uruguay,Montevideo,Libertad 2539,Comité Obrero Israelita,Boletín,febrero 1943,02,XX,1943,,,,,,/,,obrero,,Harvard
אלמאנאך פון פארבאנד פון גאליציאנער יידן,Almanakh fun Farband fun Galitsyaner Yidn,,,Idish,Uruguay,Montevideo,,Unión Israelita de Galitzia en Montevideo,,1940,XX,XX,1940,,,,,,/,,comunitaria,,Harvard
,Amerike: kontinentaler zhurnal tsu bakenen yidn mit der amerikanisher kultur,America: Revista continental judía para difusión de cultura americana,Wolf Dykler,"Idish,Español",Uruguay,Montevideo,,,,,,,,,,,,,/,monthly,,,IWO
אפיציעלער ביולעטין : פון אידישן צענטראל-קאמיטעט אין אורוגוויי,Ofitsyeler byuleṭin : fun Idishn tsenṭral-ḳomiṭeṭ in Urugṿay,,,Idish,Uruguay,Montevideo,,Idisher tsenṭral-ḳomiṭeṭ in Urugṿay,Boletín,1943,XX,XX,1943,,,,,,/,,,,Center for Jewish History CJH (NY)
ביולעטין : ערשטע יידישע קאאפעראטיווע פאר קעגנזייטיקע הילף אין מאנטעווידעא,Byuletin fun der Ershter Yid- Kooperativ far Kegnzaytiker Hilf ,Boletin de la Primera Cooperativa Mutua Israelita S.A.,,Idish,Uruguay,Montevideo,Blandengues 1670,Primera Cooperativa Mutua Israelita S.A.,Boletín,1933,XX,XX,1933,,,,,,/,,economia,,Harvard; NLI
ביולעטין,Byuleṭin,,,Idish,Uruguay,Montevideo,,Yidisher hilfs-farband fun Lodzsher landslayṭ un umgegnṭ,,1940s?,XX,XX,194X,?,,,,,/,,filantropía,,Center for Jewish History CJH (NY))
ביולעטין,Byuletin aroysgegebn fun Yidish-Farayn in Tsenter,Boletín de la Asociación Cultural Israelita,,Idish,Uruguay,Montevideo,,Asociación Cultural Israelita,Boletín,mayo 1938,05,XX,1938,,,,,,/,,comunitaria,,Harvard
,Byuletin,,,,Uruguay,,,"Centro Obrero Judio ""Moris Wintchevsky""",Boletín,1931,XX,XX,1931,,,,,,/,,,,
ביולעטין,Byuleṭin,,,Idish,Uruguay,Montevideo,, Yidisher ḳulṭur fareyn,,1938,XX,XX,1938,,,,,,/,,,,Harvard; Center for Jewish History CJH (NY)
ביראבידזשאן,Birobidzshan,Birobidyán : boletin informativo sobre la region autonoma israelita; ,,Idish,Uruguay,Montevideo,,Aroysgegebn durkh a grupe fraynṭ fun Birobidzshan in Urugṿay,,1948,XX,XX,1948,,1950,XX,XX,1950,,,comunidad Birobidjan,,Univ. of Washington; Harvard; OSU: Univ. Ill; Univ. Chicago; HUC; NLI
בלעטער פאר קונסט און ליטעראטור,Bleter far kunst un literatur,Paginas artisticas y literarias,רפאל מאנדלצווייג ; עליע ווערבלון - redactores,Idish,Uruguay,Montevideo,,Montevideo Bleter,Revista,agosto 1949,08,XX,1949,,,,,,/,,literatura,,Harvard; JTS; Center for Jewish History CJH (NY)
דא! : שריפט פאר ליטעראטור און קולטור־געזעלשאפטלעכע פראבלעמען,Do! shrift far literatur un kultur-gezelshaftlekhe problemen ,Aquí!,Shamay Grinberg,"Idish,Español",Uruguay,Montevideo,,,,1958,XX,XX,1958,,,,,,/,mensual,literatura,,JHU; UCLA; LoC; Brandeis; Harvard; JTS; Center for Jewish History CJH (NY); NLI; IWO
דא! ,,Presente!,redacción de Carlos E. Grunberg ,"Idish,Español",Uruguay,Montevideo, Pedernal 1849,,,julio 1988,07,XX,1988,,,,,,/,,,,"IWO; JHopkins; UCLA; LoC; Brandeis; Harvard; JTS; Center for Jewish Studies; NLI
(mismo q arriba?)"
דאס ארבעטער פאלעסטינע,Dos Arbeter Palestine,La Palestina obrera. Periódico mensual israelita,Salom Staroschevsky - redactor,Idish,Uruguay,Montevideo,San Fructuoso 1816,portavoz de los poalei- sionistas de izquierda,Diario,1933?,XX,XX,1933,?,,,,,/,,sionismo laborista,,Harvard
,Dos Vort,La palabra ,"editado por Shamay Grinberg, Berl Halpern, Sholem Sztaroshevsky, I. Malinov y David Porto, Administrador",Idish,Uruguay,,Florida 1231,,,19 noviembre 1932,11,19,1932,,,,,,/,semanal,,,BNU?
"דאס יידישע לעבן : צייטשריפט פאר געזעלשאפטלעכע, פאליטישע און קולטורעלע פראבלעמען אינם יידישן לעבן",Das Idische Lebn,La Vida Judía ,,Idish,Uruguay,Montevideo,Maldonado 811,,Revista,noviembre 1946,11,XX,1946,,,,,,/,,,,Harvard; NLI; Bib Nac Uruguay
,Di Beitch,El Látigo,S. Mintz,,Uruguay,,,,,1933,XX,XX,1933,,,,,,/,,,,
די מאנטעווידעער יידישע קהלה,Di Monṭevideer Yidishe kehile,,,Idish,Uruguay,Montevideo,,Monṭevideer Yidishe kehile,,1940,XX,XX,1940,,1948,XX,XX,1948,,,,,Harvard; NLI
,Di Natzionale Shtime,La Voz Nacional,Abraham Brisgal,Idish,Uruguay,Montevideo,,,,1928,XX,XX,1928,,,,,,/,,sionista,,
די פראגרעסיווע שול,Di Progresive shul,,,Idish,Uruguay,Montevideo,,Der Arbeter-Shul organisatsia,Revista,mayo 1936,05,XX,1936,,,,,,/,,educación,,Harvard; Center for Jewish History CJH (NY)
דער טאג,Der Tog : Ershṭe Idishe ṭeglekhe tsayṭung in Urugṿay ,El día = Diario israelita de la mañana ,"editado por Moisés Orzuj y Berl Reznicovich, dirigido por Hersh Brusilovsky. Posteriormente se haría cargo de la Administración Pablo Krupin",Idish,Uruguay,Montevideo,Andes 1911,,,abril 1931,04,XX,1931,,"cesó en Abril 15, 1933",04,15,1933,,,economía,,NYPL; Harvard; IWO; NLI
דער יידישער חנוך,Der Yidisher khinekh,La Enseñanza Judia,,Idish,Uruguay,Montevideo,Blandengues 1775,"Escuela Hebrea ""Dr. Hertzl""",Boletín,1939,XX,XX,1939,,,,,,/,,educación,,Harvard; Center for Jewish History CJH (NY)
דער אידישער חנוך,Der Idisher hinukh byuletin,Educación Hebrea ,,Idish,Uruguay,Montevideo,Blandengues 1775,"Escuela Hebrea ""N. Sokolov"" de la Sociedad Israelita Húngara",Revista,3 abril  1937,04,03,1937,,,,,,/,,comunidad húngara; educacion,,Harvard; YIVO;  NLI (mismo q arriba?)
,Der Idisher erd arbeter,El campesino judio,,Idish,Uruguay,,,,Boletín,diciembre 1931,12,XX,1931,,,,,,/,,colonización judeo- soviética en Birobijan ,,
,Der Yidisher Poier,El Campesino Judio,,Idish,Uruguay,,"Dep. de Rio Negro, cerca del Arroyo ""Tres Arboles""","editado por la Colonia ""Tres Arboles""",,1938,XX,XX,1938,,,,,,/,,,,
דער ליטוויש-לעטישער ייד אין אורוגוויי,Der Litvish-Letisher yid in Urugvay,Sociedad Israelita Lituano-Letona de ayuda : boletin oficial de la sociedad.,,Idish,Uruguay,Montevideo,Julio H. y Obes 1128,Hilfsfarband fun Litvishe un Letishe yidn in Urugvay / Sociedad Israelita Lituano-Letona de ayuda / הילפספארבאנד פון ליטווישע און לעטישע יידן אין אורוגוויי,Boletín,julio 1947,07,XX,1947,,,,,,/,,comunidad Lituano - Letona,,"Univ. College, London; Harvard; NLI"
דער מאמענט,Der Moment : Vokhnshrift,Momento,"redacción de Moisés Kaplan, impulsado por Dov (Bernanrdo)Margulies, quien al poco tiempo sería Redactor y Director ",Idish,Uruguay,Montevideo,Andes 1146,פריינט  פון מאמענט,Diario,diciembre 1940,12,XX,1940,,,,,,/,weekly,judios sionistas ortodoxos,,Harvard; Georgetown Univ; LoC; USHMM; JHU; Towson Univ; Center for Jewish History CJH (NY); British Library; NLI; IWO
,Di mizrakhi shtime : ofitsyeler organ fun der Mizrakhi Bavegung in Urugvay,La voz de Mizraji,Mordkhe Roseman,Idish,Uruguay,Montevideo,Eduardo Acevedo 1023,,,,,,,,,,,,/,bimensual,,,IWO
דער מעבל אינדוסטריאל, Der mebl indusṭryal,,Moises Kaplan,Idish,Uruguay,Montevideo,Agraciada 2461,Organ fun Mebl-Fabriḳanṭn Farayn in Urugṿay,Boletín,1940s,XX,XX,194X,,,,,,/,,obrero,,Harvard; Center for Jewish History CJH (NY); NLI
הדים,Edim,Ecos,,Hebreo,Uruguay,,,Centro Deportivo Israelita,,1939,XX,XX,1939,,,,,,/,,,,
"הנוער הציוני : פעריאדישע אויסגאבע פון דער ציוניסטישער יוגנט-ארגאניזאציע ""הנוער הציוני.""","ha-noʻar ha-Tsiyoni : peryodishe oysgabe fun der tsienistisher yugnt-organizatsye ""ha-noʻar ha-Tsiyoni""",,,"Idish,Español",Uruguay,Montevideo,," ""ha-noʻar ha-Tsiyoni""",,1940s,XX,XX,194X,,,,,,/,,juventud sionista,,Center for Jewish History CJH (NY)
הײנט,Haint,Hoy,dirigido por el Ing. Joel Gak y editado por Guimelfarb,"Idish,Español",Uruguay,Buenos Aires/Montevideo,,,Periodico,25 marzo 1958,03,25,1958,,25 enero 1979,01,25,1979,,,,nombre anterior: Haint. Tambien en Argetnina,Harvard; Center for Jewish History CJH (NY)
הכשרה,,Hajschara,,Hebreo,Uruguay,Montevideo,,Noʻar ha-Tsiyoni ,,,,,,,,,,,/,,sionismo,,Stanford
ווידעראויפבוי,Videroyfboy,Reconstruccion,,Idish,Uruguay,Montevideo,,Asociación de Israelitas Besarabianos en el Uruguay,Boletín,junio 1945,06,XX,1945,,,,,,/,,comunitaria,,Harvard
ווייצא ביולעטין,Vitso byuletin,,רבקה רעזניק - redactora,Idish,Uruguay,Montevideo,Andes 1168 ,WIZO,Boletín,1944,XX,XX,1944,,,,,,/,,mujeres,,Harvard
חודשלעכער קהלה - ביולעטין ,Hodeshlekher kehile-byuletin,Boletín mensual de la Comunidad Israelita del Uruguay,ישראל קריימער - director ; דוד ארזוך - redactor,Idish,Uruguay,Montevideo,,Yidisher ḳehile in Urugvay / Comunidad Israelita del Uruguay,Boletín,1968?,XX,XX,1968,?,,,,,/,,comunitario,,Harvard
חודש זשורנאל,Hoydesh zshurnal,Revista mensual de la Organización Agudas Israel en el Uruguay,Emil Lehmann - redactor,Idish,Uruguay,Montevideo,Av. Gonzalo Ramirez 2076,Agudat Israel ,Revista,abril 1943,04,XX,1943,,,,,,/,,comunitario,,Harvard
,Ḥinekh onshtaltn Tsṿisho-Sholem Aleykhem,,,Idish,Uruguay,Montevideo,,Zwischo (Monṭevideo),,,,,,,,,,,/,,educación,,Harvard
"טעאטער : חודש־אויסגאבע, ארויסגעגעבן פון אידישן אקטיארן פאראיין פאר ארגענטינע און אורוגוואי","
Ṭeaṭer : ḥodesh-oysgabe, aroysgegebn fun Idishn Aḳṭyorn Fareyn far Argenṭine un Urugṿay",Teatro,"Zucker, Nehemias - editor",Idish,Uruguay,Montevideo,,Sociedad de Actores Israelitas en la Argentina y Uruguay,,1934,XX,XX,1934,,,,,,/,,teatro,Tambien en Argentina,Harvard; Center for Jewish History CJH (NY); NYPL; Yale; HUC; Utexas
טרויער און פראטעסט,Troyer un protest,Boletín informativo,,Idish,Uruguay,Montevideo,,Bundisher grupe in Montevideo,Boletín,194?,XX,XX,194X,,,,,,/,,socialistas,,Harvard; Center for Jewish History CJH (NY)
ידיעות  : פאראייניקטער ארץ ישראל קאמפיין אין אורוגוויי,Yedies ,"
Informaciones de la Campaña Unificada para Erez Israel",,Idish,Uruguay,Montevideo,Canelones 935,Campaña Unificada para Erez Israel,Boletín,1949,XX,XX,1949,,,,,,/,,sionista,,Harvard; Center for Jewish History CJH (NY)
יוגנט-טריבונע : ספעציעלע אויסגאבע ,Yugnt-tribune : spetsyele oysgabe ... ,,,Idish,Uruguay,Montevideo,,Yugnt-sektsye ba der Lige farn arbetndn Erets-Yisroel,,1940,XX,XX,1940,,,,,,/,,juventud sionista,,Center for Jewish History CJH (NY)
,Yidisher Meditsinisher Tsenṭer,,,Idish,Uruguay,Montevideo,,,,1955,XX,XX,1955,,,,,,/,,salud,,Harvard
,Yidishe Natzionale Shtime,La Voz Nacional Judia,,,,,,,,1939,XX,XX,1939,,,,,,/,,sionistas-revisionistas,,
,Yidishe Shtime,Voz judia,M. Yarkoni (Moisés Grinberg),Idish,Uruguay,Montevideo,,,,1926,XX,XX,1926,,corta vida,,,,,,,,
,Informatsye byuleṭin,Boletin informativo,,Idish,Uruguay,Montevideo,,Yidishe arbeter ḳomiṭeṭ in Monṭevideo,,1943,XX,XX,1943,,,,,,/,,,,Harvard
"לאנד און לעבן : צוויי-וועכענטלעכער זשורנאל פאר געזעלשאפטלעכע פראגן, ליטעראטור און פאליטיק","Land un lebn : tsṿey-ṿokhnṭlekher zshurnal far gezelshafṭlekhe fragn, liṭeraṭur un poliṭiḳ",Tierra y vida,,Idish,Uruguay,Montevideo,,Kultur komisye baym Litvish-Letish Yidishn Farband/ Sociedad Judia Lituano/ Letona,,junio 1932,06,XX,1932,,,,,,/,,comunidad lituana; literatura,,Harvard; Center for Jewish History CJH (NY)
לוח שלם לשנת,Luah shalem li-shenat,Calendario israelita (completo) para el año hebreo …,,Hebreo,Uruguay,Montevideo,,,,1950s,XX,XX,195X,,,,,,/,anuario,,,Stanford
,Mobet,,,,Uruguay,,,,,1939,XX,XX,1939,,,,,,/,,teatro,,
מאָרגן  צייַטונג,Morgn- Zaitung,Diario de la mañana,Hersz Brusilovsky (Redactor),Idish,Uruguay,,,,Diario,Mayo 1933,05,XX,1933,,,,,,/,,,"surge a raiz de conflicto con el diario ""Der Tog"", donde parte del personal se desvincula y forman una cooperativa, para editar un nuevo diario.",
מאנטעװידעער שטימע,Montevideer shtime,La voz de Montevideo,Abraham Brisgal ,Idish,Uruguay,Montevideo,Rio Branco 1119,,,1921,XX,XX,1921,,,,,,/,,sionista,,Harvard; Center for Jewish History; IWO
מאנטעװידעער שטימע פון ארבעטנדן ארץ ישראל,"Montevideer shtime
",La voz de Montevideo,Administrraba Baruj Rubinovich; luego I. Bursttin ,Idish,Uruguay,Montevideo,Maldonado 8905,Liga pro Palestina Obrera /Lige Farayn Arbeṭndn Erets Yiśroel in Monṭeṿideo,Diario,noviembre 1939,11,XX,1939,,30 mensuarios,,,,,,sionismo laborista,,Harvard; Center for Jewish History CJH (NY); NLI
"מאפר-ביולעטין : איינמאליקע אויסגאבע פון יידישן סוב-קאמיטעט פון ""מאפר""","Mopr-byuletin : eynmoliḳe oysgabe fun Yidishn sub-ḳomiṭeṭ fun ""Mopr""",,,Idish,Uruguay,Montevideo,,Mopr,,1932,XX,XX,1932,,,,,,/,,,,Center for Jewish History CJH (NY)
מזרחי וועג : אפיציעלער ארגאן פון הסתדרות המזרחי ... אין אורוגוויי,Mizrahi ṿeg : ofitsyeler organ fun Histadrut ha-Mizraḥi ... in Urugṿay,,,Idish,Uruguay,Montevideo,,,,1943,XX,XX,1943,,,,,,/,,sionismo religioso,,Center for Jewish History CJH (NY)
מיר וועלן לעבן! : אויסגאבע פאר יידישע קולוטור געזעלשאפטלעכע פראבלעמען,Mir veln lebn,Viviremos! Publicacion para el esclarecimiento  de problemas culturales y sociales del Pueblo Judio,,Idish,Uruguay,Montevideo,Soriano 827,,Revista,1958,XX,XX,1958,,,,,,/,,cultural,,Harvard; Center for Jewish History CJH (NY); NLI
,Mir Zogn,Decimos,,Idish,Uruguay,,,,,octubre 1938,10,XX,1938,,,,,,/,,,anterior: Decimos; en español,
"ממקור ישראל : פון אונזער אייביקן קוואל : וואכן-אויסגאבע פאר פרשת השבוע, משנה, הלכה און פראבלעמען פון יידישקייט",Mi-mekor Yisrael : fun unzer aybikn kval ,De fuente Judia : De nuestro tesoro espiritual,,Idish,Uruguay,Montevideo,,Jewish Agency for Israel. Department for Aliyah & Absorption,,2 marzo 1956,03,02,1956,,,,,,/,,educación,,Harvard
,Menoyre,Menorah,,Idish,Uruguay,Montevideo,,Comunidad Israelita del Uruguay,,1981,XX,XX,1981,,,,,,/,,,,Harvard
,Natzionalistishe Idees,Ideas Nacionalistas,,Idish,Uruguay,,,Partido Nacional,Boletín,1931,XX,XX,1931,,,,,,/,,,,
נוער עובד,Noʻar ʻoved,Juventud obrera,Abraham Schwartz,Idish,Uruguay,Montevideo,,"Juventud Sionista Socialista ""DROR""",,noviembre 1946 ,11,XX,1946,,,,,,/,,juventud sionista,,Harvard
פאלקסבלאט,Folksblat,Diario de los israelitas residentes en el Uruguay,Abraham Schwartz - redactor,Idish,Uruguay,Montevideo,Andes 1191,,Diario,abril 1931,04,XX,1931,,,,,,/,,,aparecio en abril 1931 bajo el nombre de Der Tog,Harvard; NYPL; LoC; JHU; Univ. Pitt; Yale; Center for Jewish History CJH (NY); NLI
פאלקסבלאט,Folksblat,Diario del pueblo,Moishe Orzuj y Berl Resnicovich - editores,Idish,Uruguay,Montevideo,Andes 1191,vocero de la comunidad ashkenazi,Diario,3 febrero 1935,02,03,1935,,agosto 1959 o 1970's?,,,,,,,"el conflicto Der Tog- Morgnzaitung- Uruguaier Tog, se solucionó y meses después daría lugar a la aparición del ""Folksblat. Continua con el nombre: Haint",NYPL; Harvard; NLI
פאלקסהויז,,,,Idish,Uruguay,Montevideo,,,,1950s,XX,XX,195X,,,,,,/,,obrera,,NLI
פועלי־ציון התאחדות,Po'ale tsiyon hitahdut,,,Idish,Uruguay,Montevideo,,World Socialist Union of Jewish Workers--Po'alei Zion,,1949,XX,XX,1949,,,,,,/,,sionismo laborista,,Harvard; Center for Jewish History CJH (NY)
פראקאר ביולעטין,Prokor byuletin,,,Idish,Uruguay,Montevideo,,Prokor Komisye,,1932,XX,XX,1932,,,,,,/,,comunista,,Harvard; YIVO
פארן פאלקס געזונט  ,Farn Folks Guezunt,Por la salud del pueblo,,Idish,Uruguay,Montevideo,באסע ל. מעררא 2526,Organ fun der Yidisher Mutualista in Uruguay,Revista,agosto 1939,08,XX,1939,,,,,,/,,salud,,Harvard
צום אקטיאבער,Tsum Oktyaber,Hacia Octubre,Moishe Rijter,Idish,Uruguay,Montevideo,,Vekhntlekher organ fun der kompartay in Urugvay,,septiembre 1930,09,XX,1930,,casi 5 anios,XX,XX,1935,%,,comunista,"antecesor del ""Unzer Frain""",UCSB; Harvard; Center for Jewish History CJH (NY)
,Tzum Moment,Para el momento,,Idish,Uruguay,,,Union de Instituciones Judias (Farainigte Idishe Institutzies),,1929,XX,XX,1929,,1929,XX,XX,1929,,,,,
צײט פראגן,"Tsayt fragn: monatshrift far gezelshaft un kultur fragn. Periódico cultural israelita. Oysgabe far gezelshaftlekhe, politishe un kultur fragn",Preguntas de actualidad o Problemas actuales,Sheyvakh Kornvorzel; M. Skudicki o S.Kornzwolcer,Idish,Uruguay,Montevideo,Guana 1982. Montevideo; Maldonado 974. Montevideo,Asociación Cultural I. L. Peretz.,Revista,1938,XX,XX,1938,,,,,,/,monthly,socialista bundista,,Harvard; Center for Jewish History CJH (NY); NLI; IWO
,Ḳehile yedies̀,,,Idish,Uruguay,Montevideo,,,Boletín,1900s,XX,XX,19XX,,,,,,/,,,,Harvard
קליין אמעריקע : אונטערהאלטונגס בלאט פאר הויז און פאמיליע,Klein Amerike,Pequeña América,H. Zilberberg - redactor,Idish,Uruguay,Montevideo,,,,20 junio 1935,06,20,1935,,,,,,/,,literatura; vida social,,Harvard; NLI
קינדער פרייד,Kinderfreyd,Alegria infantil o Alegría de los Niños,redactado por David Lasca,Idish,Uruguay,Montevideo,,Fareniḳṭe Yidishe shul-organizatsye in Urugṿay / Sociedad de Escuelas Israelitas en el Uruguay,,agosto 1939,08,XX,1939,,,,,,/,monthly,educación,,Harvard; Center for Jewish History CJH (NY); NLI
,Roite Stern,Estrella Roja,,,Uruguay,,,,,1929,XX,XX,1929,,,,,,/,,comunista,luego sale com Zum Oktober,
ראטשער יידישע שטימע,Rottsher Yidishe shttime,,יצחק לעוו - redactor,Idish,Uruguay,Rocha,Tristan Narvaja 1506,Yidishn ḳultur un hilfs-farayn in Roṭshe / יידישער קולטור און הילפס-פאריין,Diario,193?,XX,XX,193X,,,,,,/,,comunitario,,Harvard; NLI
,Sholem Aleykhem shul,Escuela Scholem Aleijem : fiestas de fin del cursos,,Idish,Uruguay,Montevideo,,,,1900s,XX,XX,19XX,,,,,,/,,educación,,Harvard
שול און הײם,"Shul un heym : Yidishe-Hebreisher Folḳs-Shule ""Dr. Khaym Arlozorov"" un Gan Yeladim ""M.M. Usishḳin""",Escuela y hogar,,Idish,Uruguay,Montevideo,,"Yidishe-Hebreisher Folḳs-Shule ""Dr. Khaym Arlozorov"" un Gan Yeladim ""M.M. Usishḳin"",",Anuario,1942,XX,XX,1942,,,,,,/,annual,educación,,Harvard; Center for Jewish History CJH (NY); JHU; JTS; UCLA
,,,,,,,,,,,,,,,,,,,/,,,,
